context_window,file,judge_avg_avg_score,judge_avg_behavioral_guidance,judge_avg_cbt_adherence,judge_avg_cognitive_focus,judge_avg_cognitive_restructuring,judge_avg_self_reflection,judge_avg_understanding,judge_model,judge_n_scored,n_therapist_turns,protocol_execution_avg,reframing_execution_avg,refusal_rate,socratic_execution_avg,stem,validation_execution_avg
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/baseline_transcript_1.json,2.783,2.8,3.1,2.9,1.9,2.0,4.0,gpt-4o-mini,10,10,0.417,0.05,0.0,0.2,baseline_transcript_1,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/baseline_transcript_2.json,2.583,2.3,2.9,2.7,1.9,2.0,3.7,gpt-4o-mini,10,10,0.35,0.0,0.2,0.05,baseline_transcript_2,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/baseline_transcript_3.json,2.717,2.5,3.0,2.9,1.9,2.0,4.0,gpt-4o-mini,10,10,0.317,0.05,0.0,0.1,baseline_transcript_3,0.8
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/baseline_transcript_4.json,2.783,2.8,3.1,2.9,2.1,2.0,3.8,gpt-4o-mini,10,10,0.367,0.0,0.0,0.1,baseline_transcript_4,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/baseline_transcript_5.json,2.9,2.9,3.1,3.1,2.1,2.3,3.9,gpt-4o-mini,10,10,0.367,0.0,0.0,0.2,baseline_transcript_5,0.9
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/cbt_transcript_1.json,3.317,2.0,3.1,3.9,2.9,4.0,4.0,gpt-4o-mini,10,10,0.567,0.3,0.0,0.5,cbt_transcript_1,0.9
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/cbt_transcript_2.json,3.3,1.9,3.1,3.9,3.0,3.9,4.0,gpt-4o-mini,10,10,0.65,0.25,0.0,0.7,cbt_transcript_2,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/cbt_transcript_3.json,3.4,2.1,3.2,4.0,3.1,4.0,4.0,gpt-4o-mini,10,10,0.617,0.35,0.0,0.6,cbt_transcript_3,0.9
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/cbt_transcript_4.json,3.383,1.9,3.2,4.0,3.2,4.0,4.0,gpt-4o-mini,10,10,0.7,0.4,0.0,0.7,cbt_transcript_4,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/mistral/cbt_transcript_5.json,3.3,2.1,3.2,3.8,2.8,3.9,4.0,gpt-4o-mini,10,10,0.617,0.3,0.0,0.55,cbt_transcript_5,1.0
