Turn,User Text,SNOMED Term,Code,Retrieval Score,Hypothesis,NLI Label,Entailment Score,Neutral Score,Contradiction Score,Decision
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Breakup of romance (finding),105416005,0.2818,"This person has breakup of romance (finding), which involves psychological function (observable entity).",NEUTRAL,0.0639,0.9116,0.0245,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Anxiety about resuming sexual relations (finding),225638007,0.2381,"This person has anxiety about resuming sexual relations (finding), which involves psychological function (observable entity), sexual relationship details (observable entity), functional observable (observable entity), emotion (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0097,0.9733,0.017,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Able to remember today's date (finding),285205002,0.1986,"This person has able to remember today's date (finding), which involves psychological function (observable entity), cognitive functions (observable entity), ability to remember today's date (observable entity).",NEUTRAL,0.3144,0.5875,0.0982,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Ability to remember today's date (observable entity),285204003,0.1812,This person has ability to remember today's date (observable entity).,ENTAILMENT,0.9851,0.012,0.0029,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Unable to remember today's date (finding),247608009,0.1791,"This person has unable to remember today's date (finding), which involves psychological function (observable entity), cognitive functions (observable entity), ability to remember today's date (observable entity).",CONTRADICTION,0.0051,0.0224,0.9725,DROP
2,I don’t know why I keep blowing up at people. I just do.,Obsessional thoughts of explosions (finding),247875005,0.4595,"This person has obsessional thoughts of explosions (finding), which involves psychological function (observable entity), cognitive functions (observable entity).",NEUTRAL,0.0194,0.9671,0.0136,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Unable to control anger (finding),225005002,0.4219,"This person has unable to control anger (finding), which involves psychological function (observable entity), emotion (observable entity), ability to control anger (observable entity).",CONTRADICTION,0.0023,0.0114,0.9863,DROP
2,I don’t know why I keep blowing up at people. I just do.,Tends to turn anger against self (finding),286795004,0.4115,"This person has tends to turn anger against self (finding), which involves psychological function (observable entity).",ENTAILMENT,0.5523,0.4027,0.0449,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Tends to allow anger to build up (finding),286791008,0.4094,"This person has tends to allow anger to build up (finding), which involves psychological function (observable entity).",ENTAILMENT,0.777,0.2188,0.0042,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Able to control anger (finding),285848000,0.3906,"This person has able to control anger (finding), which involves psychological function (observable entity), emotion (observable entity), ability to control anger (observable entity).",NEUTRAL,0.1598,0.7297,0.1105,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Emotionally subdued (finding),225650001,0.352,"This person has emotionally subdued (finding), which involves psychological function (observable entity), emotion (observable entity), expression of emotions (observable entity).",ENTAILMENT,0.9764,0.0235,0.0001,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Extremely emotionally deprived (finding),284487002,0.3482,"This person has extremely emotionally deprived (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0068,0.9925,0.0007,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Complaining of feeling depressed (finding),272022009,0.3385,"This person has complaining of feeling depressed (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.4589,0.5404,0.0007,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Depressed mood (finding),366979004,0.3364,"This person has depressed mood (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.2854,0.7145,0.0002,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Rebound mood swings (finding),191664002,0.3225,"This person has rebound mood swings (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.0031,0.9963,0.0006,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Feeling intoxicated (finding),102897001,0.4096,"This person has feeling intoxicated (finding), which involves psychological function (observable entity), emotion (observable entity).",NEUTRAL,0.2413,0.6964,0.0623,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcoholic family member (finding),133938003,0.358,"This person has alcoholic family member (finding), which involves psychological function (observable entity).",NEUTRAL,0.4557,0.4865,0.0578,DROP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Husband alcoholic (finding),281026004,0.3545,"This person has husband alcoholic (finding), which involves psychological function (observable entity).",ENTAILMENT,0.5224,0.3858,0.0918,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcoholic parent (finding),133940008,0.3484,"This person has alcoholic parent (finding), which involves psychological function (observable entity).",NEUTRAL,0.0176,0.9569,0.0255,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcohol induced hallucinations (finding),417633001,0.3413,"This person has alcohol induced hallucinations (finding), which involves psychological function (observable entity).",NEUTRAL,0.01,0.9568,0.0332,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Incongruent personal schedules (finding),422717002,0.4889,"This person has incongruent personal schedules (finding), which involves psychological function (observable entity).",NEUTRAL,0.1952,0.8021,0.0027,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Difficulty in remembering dates (finding),275278005,0.4197,"This person has difficulty in remembering dates (finding), which involves psychological function (observable entity), cognitive functions (observable entity), semantic memory performance (observable entity).",NEUTRAL,0.3962,0.5885,0.0153,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Difficulty making plans (finding),247584000,0.4029,"This person has difficulty making plans (finding), which involves psychological function (observable entity), cognitive functions (observable entity), decision making (observable entity), ability to plan (observable entity).",ENTAILMENT,0.9802,0.0195,0.0003,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Poor daily routine (finding),225789002,0.3801,"This person has poor daily routine (finding), which involves psychological function (observable entity), activity of daily living (observable entity).",NEUTRAL,0.0137,0.984,0.0023,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Able to remember today's date (finding),285205002,0.3674,"This person has able to remember today's date (finding), which involves psychological function (observable entity), cognitive functions (observable entity), ability to remember today's date (observable entity).",NEUTRAL,0.3487,0.6167,0.0346,KEEP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Psychophysiologic insomnia (disorder),425832009,0.4499,"This person has psychophysiologic insomnia (disorder), which involves psychological function (observable entity).",NEUTRAL,0.0124,0.9823,0.0052,KEEP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Asleep (finding),248220008,0.417,"This person has asleep (finding), which involves psychological function (observable entity), wakefulness (observable entity).",CONTRADICTION,0.0063,0.0147,0.979,DROP
