User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Feeling relieved,Cancellation of appointment,Last-minute decision,Reported feeling,Change of plan
I don’t know why I keep blowing up at people. I just do.,Verbal aggression,Outburst,Irritability,Loss of control,Anger
"I’ve still been pretty down, I guess. I spent most of the week in bed.",Low mood,Staying in bed,Reduced activity,Sadness,Feeling down
"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Difficulty controlling substance use,Concern about substance use,Apprehension,Anxiety,Self-awareness of behaviour
I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Difficulty adhering to schedule,Difficulty with organisation,Procrastination,Missed appointment,Being late
"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Behavioral change,Sleep hygiene practice,Insomnia behavioral therapy,Self-directed behavior,Response to advice
"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling of failure,Self-perceived failure,Feeling of guilt,Regret,Expression of disappointment
"[Sad, failing to make eye contact] I guess I don’t deserve better.",Sadness,Lack of eye contact,Feeling of worthlessness,Self-blame,Expression of hopelessness
"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Feeling of grief,Feeling of loss,Devastation,Hopelessness,Feeling of disappointment
I cut myself this week. I don’t know why I harm myself like I do.,Self-inflicted injury,Impulsive behaviour,Intentional self-harm,Emotional distress,Unexplained behaviour
"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Fear of contamination,Compulsive behavior,Anxiety,Obsessive thought,Sense of unease
You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Feeling embarrassed,Feeling infantilized,Feeling depressed,Thought about behavioral strategy,Feeling uncomfortable
"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Feeling overwhelmed,Feeling of hopelessness,Loss of enjoyment,Self-reported inability to function,Expression of distress
