User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Abandonment of planned social engagement,Relief response to avoided situation,Cancellation of previously scheduled event,Change in planned social interaction,Emotional relief in response to avoidance
I don’t know why I keep blowing up at people. I just do.,Anger Response,Impulsive Behavior,Emotional Dysregulation,Irritability,Uncontrolled Emotion Expression
"I’ve still been pretty down, I guess. I spent most of the week in bed.",Depressed mood,Anhedonia,Sleeping disorder (reduced sleep quantity),Leisure activity avoidance,Reduced interest in usual activities
"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Anxiety,Fear,Resistance to change,Stress,Uncomfortable social situation
I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Lack of motivation,Difficulty with time management,Impaired punctuality,Inattention,Executive function impairment
"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Anxiety experienced during the night,Difficulty initiating sleep,Sleep onset latency,Restlessness related to inability to fall asleep,Tension or stress felt while trying to fall asleep
"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Abnormal emotional response to stress or anxiety,Difficulty coping with emotions,Loss of control over behavior,Regret about past behavior,Unplanned or impulsive behavior
"[Sad, failing to make eye contact] I guess I don’t deserve better.",Anhedonia,Low self-esteem,Social withdrawal,Emotional distress,Negative self-talk
"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Loss of interest in activities,Sadness,Feelings of devastation,Perceived irreversibility,Hopelessness
I cut myself this week. I don’t know why I harm myself like I do.,Self-harm behavior,Impulsive behavior,Emotional distress,Unintended self-injury,Self-destructive behavior
"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Anxiety response,Increased anxiety due to perceived risk or threat,Feelings of disgust,Sense of urgency,Desire for cleanliness and hygiene
You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Cognitive Appraisal Disturbed,Negative Thought Pattern,Emotional Experience: Shame,Self-Esteem Disturbance,Resistant or Oppositional Behavior
"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Feeling of hopelessness,Difficulty initiating activities,Perceived lack of motivation,Sense of despair,Feelings of helplessness
"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Anxiety reaction,Panic attack,Self-blame,Embarrassment,Anger
"I cut myself again, so my fiancé got worried and stayed home from work again.",Self-harm behavior,Anxiety-related emotional state,Concerned emotional response,Worried emotional state,Emotional distress
I don’t think I’m ready to work on this today.,Doubt about ability,Lack of motivation,Apprehension or fear,Unwillingness to engage in activity,Cognitive uncertainty
I’m so embarrassed. I’m an ugly crier.,Excessive tear flow,Emotional distress,Self-consciousness,Feelings of shame,Insecurity
"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Avoidant behavior,Deflection,Resistance to discussion,Unwillingness to engage in task,Anxiety-related avoidance behavior
"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anxiety experience,Doubt or uncertainty,Fear of relapse,Loss of confidence,Uncertainty about the future
"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Emotional distress,Perceived lack of progress,Uncertainty about improvement,Feeling stuck,Sense of frustration
"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Patient's emotional acceptance of situation,Resistance to change in emotional state,Lack of perceived need for psychotherapy,Feeling that one has managed despite challenges,Self-perceived emotional resilience
[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Emotional distress,Anxiety,Feelings of embarrassment,Guilty feeling,Regret
"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Sadness,Loss of sense of well-being,Negative emotional affect,Feelings of sadness and distress,Disappointment
[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Anxiety,Emotional Distress,Fearfulness,Hysteria,Sadness
"[Head in hands, sobbing without speaking]",Sadness,Emotional distress,Crying episode,Impaired emotional regulation,Expressive emotional behavior
What we’re doing in here is so stupid!,Expressed anger,Negative emotional state,Cognitive dissonance,Perceived absurdity,Resentment
[Very anxious] I feel like I’m going to have a panic attack or faint!,Tachycardia,Palpitations,Feeling of impending doom,Fearfulness,Panic sensation
"[Disgusted, looking away] Ugh. Ahh. That is disgusting! I am not looking at that or touching it!",Anhedonia,Distaste sensation,Rejection reaction,Fear response,Avoidant behavior
"[Crying, raised voice] I can’t do this!",Acute emotional distress,Anxiety response,Emotional overwhelm,Feeling of hopelessness,Strong emotional reaction to stress
"You don’t understand. I want to stop feeling sad, not practice feeling sad. I’m already pretty freaking great at feeling bad. So, I really don’t need more practice at that!",Difficulty Expressing Emotional Experience,Negative Self-Image,Sadness,Sense of Inadequacy,Unpleasant Emotional State
Oh my god . . . Oh my god . . . I’m dying! I can’t breathe! Help me!,Acute anxiety,Panic attack,Hyperventilation,Tachypnea,Distress response
I don’t think you really care about me! You just pretend to like me because it’s your job!,Discomfort with social interactions,Negative self-focused thinking,Perceived lack of empathy from others,Mistrust of others' motivations,Feelings of isolation
I’m still trying to get the hang of identifying my thoughts. What should I plan for next week?,Self-reflection,Thought monitoring,Cognitive awareness,Mental processing,Problem identification
I know I’m a terrible mother.,Negative self-assessment,Self-blame,Parenting distress,Self-criticism,Low self-esteem
I’m a total failure.,Negative self-assessment,Lack of confidence,Feelings of inadequacy,Hopelessness,Low self-esteem
