User Query,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5
"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Feeling of relief,Anxiety (feeling),Intent to cancel social event,,
I don’t know why I keep blowing up at people. I just do.,Aggressive behaviour,Anger outburst,Irritability,Impulsiveness (psychological),Lack of control (behaviour)
"I’ve still been pretty down, I guess. I spent most of the week in bed.",Feeling sad,Reduced activity level,Depressed mood,Insomnia,Lying down
"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Feeling of anxiety,Anticipated consumption of alcohol,Feeling of nervousness,Social drinking,Experience of difficulty in controlling alcohol consumption
I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Missed appointment,Chronic lateness (factitious disorder),Reduced planning and organizational skills,Disorganized thoughts,Self-neglect (behavior)
"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Insomnia,Behavioural insomnia with prolonged time spent attempting to sleep,Abnormal sleep pattern,Sleep maintenance disorder,Restless behaviour
"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling of inadequacy,Feelings of guilt,Abnormal drinking behavior,Feeling of failure (psychological),Negative feelings about oneself
"[Sad, failing to make eye contact] I guess I don’t deserve better.",Mood symptom of depression,Reduced visual responsiveness,Negative self-attitude,,
"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Feeling of sadness,Grief (emotion),Loss of interest in usual activities,Depression (mood disorder),Anticipatory grief
I cut myself this week. I don’t know why I harm myself like I do.,Self-harm behavior,Suicidal ideation,Aggressive behavior,Deliberate self-harm,Unconscious mental process
"After touching all of the bathroom walls with millions of germs—I am going to wash my hands immediately! I get the point of exposure, but it’s crazy not to wash your hands after what we just did.",Obsession about contamination,Compulsive hand-washing,Perception of excessive dirt or germs,Apprehension in response to perceived risk,Intrusive thoughts about contamination
You think I should set up some “little rewards” to start feeling less depressed. That seems kind of embarrassing and infantilizing.,Feeling of guilt,Thought about reward,Depressed mood,Self-judgment (abnormal),Embarrassment
"You don’t understand. I can’t do these things because I’m depressed. If I wasn’t depressed, I could easily do these things, and I wouldn’t need to be here in the first place.",Depressed mood,Reduced motivation,Lack of energy,Inability to concentrate,Feeling of hopelessness
"The exposure you assigned last week was a disaster. I had a panic attack on the train, and everyone stared at me. So embarrassing. It’s your fault because you told me to do it.",Panic Attack,Emotional Distress,Social Anxiety,Fear of Humiliation,Negative Emotional Feelings Towards Individual (explanation: someone who has caused the emotional distress)
"I cut myself again, so my fiancé got worried and stayed home from work again.",Self-inflicted injury of wrist,Emotional distress,Suicidal ideation,Affected social role - Partner/spouse absence due to illness or injury,Absenteeism from work due to patient's condition
I don’t think I’m ready to work on this today.,Mental state deterioration,Negative attitude towards work,Reduced work capacity,Ambivalence about work,Work avoidance
I’m so embarrassed. I’m an ugly crier.,Feeling of embarrassment,Crying,Aesthetic self-consciousness disturbance,,
"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching jobs. Maybe we should talk about that instead today?",Deflection of attention,Avoidance behavior,Anxiety-related behavior,Nervousness,Emotional avoidance
"OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should stop now.",Anxiety,Doubt about effectiveness of treatment,Fear,Uncertainty (psychological phenomenon),Request to discontinue a procedure
"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy for weeks and I feel the same.",Feeling of lack of improvement,Emotional lability,,,
"I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to change! I’ve been dealing with this my whole life and I’ve managed.",Negative attitude towards mental health care,Resistance to psychological therapy,Acceptance of current mental state,Life-long coping with psychological issue,Reluctance to personal change
[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste of time.,Feeling of embarrassment,Tearfulness,Shaking (body movement),Self-consciousness,Statement of intention to disappoint
"My partner broke up with me today. I know it’s stupid, but I really thought we were going to get married.",Feeling of sadness,Thought about future with significant other,Feeling of hopelessness,Cognition of loss,Feeling of disappointment
[Shaking and weeping] This is not something I can get into without hysterically crying. That’s why I avoid it.,Hysterical crying,Weeping,"Shaking, bodily",Avoidance behavior,
"[Head in hands, sobbing without speaking]",Sobbing,Silent crying,Mourning (Behavior),Distress behavior,Agitated behavior
What we’re doing in here is so stupid!,Invalid JSON format for model mistral:7b-instruct,Invalid JSON format for model mistral:7b-instruct,Invalid JSON format for model mistral:7b-instruct,Invalid JSON format for model mistral:7b-instruct,Invalid JSON format for model mistral:7b-instruct
[Very anxious] I feel like I’m going to have a panic attack or faint!,Anxiety,Fear of fainting,Panic attack,Dizziness,Symptom/sign of hyperventilation
"[Disgusted, looking away] Ugh. Ahh. That is disgusting! I am not looking at that or touching it!",Avoidance of Disgusting Objects,Negative Emotional Valence of Disgust,"Body Sensations Related to Emotion, Disgusted",Avoidance Behavior,Verbal Expression of Disgust
"[Crying, raised voice] I can’t do this!",Crying,Elevated voice,Emotional distress,,
"You don’t understand. I want to stop feeling sad, not practice feeling sad. I’m already pretty freaking great at feeling bad. So, I really don’t need more practice at that!",Feeling of depression,Mood Swinging,Emotional lability,Negative affectivity,Exaggerated emotional response
Oh my god . . . Oh my god . . . I’m dying! I can’t breathe! Help me!,Feeling of suffocation,Anxiety-related dyspnea,Subjective sensation of impending death,Hyperventilation syndrome,Fear
I don’t think you really care about me! You just pretend to like me because it’s your job!,Feeling of being ignored,Perception of insincerity,Feeling misunderstood,Paranoid ideation,Feeling of being manipulated
I’m still trying to get the hang of identifying my thoughts. What should I plan for next week?,Thought process abnormality,Cognitive symptom,Planning behavior,Self-reflection (psychological),Subjective experience of cognition abnormality
I know I’m a terrible mother.,Maternal self-perception of inadequacy,Negative self-concept of being a parent,Low self-esteem related to maternal role,Depressed maternal attitude towards self,Self-deprecation about maternal abilities
I’m a total failure.,Feeling of inadequacy,Perception of failure,Self-perceived deficiency,Low self-esteem,Negative self-concept
I know the job interview is going to go poorly; they always do.,Low self-confidence (finding),Negative attitude towards work or study (finding),Anticipatory anxiety (finding),Cognitive inflexibility (finding),Pessimistic outlook (finding)
I don’t really know anyone who will be at this party. I know I’ll be miserable.,Miserable feeling,Loneliness,Anxiety about social situation,Subjective sadness,Fear of negative experience
You talk about the importance of thoughts . . . I’m already very aware of my negative thoughts.,Negative thinking,Cognitive self-awareness,Thought awareness,Dysfunctional thought patterns,Negative self-talk
"When we work through these thought records, it’s not hard to come up with alternative evidence and thoughts, but it feels artificial and doesn’t really make me feel better.",Feeling artificially induced emotional state,Lack of therapeutic benefit from cognitive restructuring techniques,Subjective perception of inauthenticity in cognitive-behavioral therapy process,Dissatisfaction with cognitive-behavioral therapy outcomes,Cognitive dissonance related to alternative evidence and thoughts in thought records
I was feeling hopeless and didn’t want to come in today.,Hopelessness (feeling of),Negative attitude of patient towards care (procedure or visit),,,
How will focusing more on these negative thoughts and feelings make me feel better rather than just feel worse?,Focused attention on negative feelings or thoughts,Negative affect,Negative thought content,Cognitive avoidance behavior,Increased subjective distress
"I don’t know... when things get intense, I just act. I don’t have any thoughts; I just act or react.",Acting behaviour,Absence of conscious thought,Impulsivity,Reactive behaviour,Lack of contemplation
My boss’s evaluation of me was devastating. I’m at a loss. There is no other perspective on this.,Feelings of inadequacy,Loss of self-esteem,Negative self-evaluation,Feeling overwhelmed,Single-sided perspective (psychological)
"You’re telling me that if my partner died, I should be fine with it?!",Sad mood,Grief reaction,Distress,Negative emotional reaction to significant event,Emotional response to the death of a family member or friend
"Why do you just keep asking questions, over and over again? It’s really frustrating not to get anything more direct from you.",Mental state change due to persistent questioning by another individual,Emotional arousal due to frustration caused by repetitive questioning,Verbal behavior or communication disorder due to repetitiveness,Perception of lack of directness in communication from another individual,Affective disturbance due to feeling frustrated
"I did what you suggested about my thoughts, and it really helped in the moment. Every time I had a negative thought, I just told myself the opposite.",Negative thinking,Cognitive reappraisal,Self-statements,,
"I don’t like this or find it helpful. My thoughts aren’t irrational or baseless, so I actually find it kind of invalidating and insulting.",Negative attitude towards health care,Patient dissatisfaction with healthcare provider,Feeling insulted,Self-esteem diminished,Feeling invalidated
"I know I sometimes think in extremes, but what if the worst thing actually did happen? It could.",Perception of danger,"Thought disturbance, overvalued idea",Anticipatory anxiety,"Cognition abnormality, persistent or recurrent extreme ideas",Irrational thought
I feel like I’m getting the hang of objective monitoring.,Feeling of mastery,Perception of competence,Subjective self assessment of ability,Self-reported skill acquisition,Subjective feeling of control
I’m still trying to get the hang of identifying my thoughts. Should I plan for anything next week?,Thinking process,Planning (cognitive function),Anticipation (emotion),Cognitive control,Self-awareness (psychological feature)
"OK, what do we do now that we’ve created an exposure hierarchy?",,,,,
What do we do next with this exposure thing?,Exposure anxiety,Anxiety response to a stressor,Post-traumatic stress symptoms,Distress due to traumatic event,Dysfunctional emotional response
"[Curious, after emotion monitoring homework was assigned at the end of the previous session] Where should we start today?",S450179003 | Curiosity about a specific topic (Finding),S426810003 | Emotion monitoring (Finding),,,
I’m not sure I’m ready to do this on my own.,Fear of inadequacy,Anxiety about self-coping capacity,Self-doubt,Apprehension about autonomy,Uncertainty (psychological)
"I have a hard time with organization, so I’m worried about doing all of the homework correctly",Feeling disorganized,Anxiety about homework completion,Reduced study skills (disorder),Concern about academic performance,Worry about doing homework correctly
I actually need to be out the door right now. Is there anything that I should do before our next session?,,,,,
I did some of what we talked about last week but forgot the forms.,Forgetting (observable entity),Performing incomplete action (procedure) (observable entity),,,
I was only able to do part of what we talked about last week.,Incomplete task,Task uncompleted,Partial task completion,Unfinished work,Incomplete job
I don’t expect this assignment to help.,Negative attitude of patient towards medical care,Lack of confidence in treatment,Pessimistic expectation,Cognitive inflexibility,Passive coping style
I’m too swamped; I don’t think I’ll have the time to do any homework.,Excessive stress response,Feeling of being overloaded,Inadequacy (Conceptualization of self),Time management problem,Anxiety about academic performance
I’m just not getting it. I don’t understand what you’re asking me to do for the homework.,Lack of understanding,Cognitive dysfunction,Problem in learning,Difficulty with comprehension,Learning difficulty
I just don’t think I can do this homework on my own.,Feeling of inadequacy,Inability to concentrate,Fear (psychological phenomenon),Anxiety (finding),Lack of self-confidence
"I successfully did the homework! However, it made me very nervous, so I had a few drinks beforehand. This is OK, right? I hope you don’t judge my drinking, like my wife and boss do.",Feeling of nervousness,Alcohol consumption in relation to emotional state (occurrence),Alcohol-related coping behavior,Perception of being judged by others,Anxiety in response to accomplishment (finding)
"Whenever I have trouble motivating to do the homework, I think of how happy I will feel telling you that I did it. Your approval means everything to me. I honestly think you’re the best therapist I’ve ever met.",Feelings of happiness,Dependent self-concept,Motivation disorder,Anxiety-related to performance and competence,Positive response to therapist
"I didn’t do the homework. It didn’t seem like it was that important, to be honest.",Lack of motivation,Cognitive avoidance of homework,Subjective sense of unimportance,Failure to complete homework,Ambivalence towards homework completion
Is this approach helpful for people like me?,Self Evaluation of Health,Perception of Self-Efficacy,Subjective Perception of Helpfulness,Self Reported Experience of Benefit,Self Reported Satisfaction with Care
How does therapy work?,Therapeutic intervention,Client-therapist relationship,Psychotherapy technique,Counseling process,Therapeutic alliance
I’ve never been in therapy before. What do we talk about here?,Sad mood,Anxiety,Depressed mood,Self-conscious emotions,Insomnia
I’ve never been in therapy before. Do we just talk about my past or upbringing?,Talking about past history,Discussion of family background and upbringing,,,
I’m not sure I understand how talking about my feelings will help.,Feeling of unawareness of benefit from social interaction,Anxiety about expressing emotions,Doubt about the value of emotional expression,Uncertainty about the effectiveness of communication,Fear or anxiety about interpersonal relationships
"I have a hard time with organization, so I’m worried about doing all of the homework correctly.",Inability to concentrate,Disorganized thinking,Anxiety,Performance anxiety,Impaired study habits
I’m not sure this is the right thing for me.,Feeling of indecision,Doubt about a decision,Ambivalence (psychological),Cognitive conflict,Uncertainty (psychological phenomenon)
"The things that you’re saying make sense. I can see how this way of working would be helpful to other people, but I’m not sure it is a good fit for me.",Subjective feeling of uncertainty,Self-doubt about personal abilities,Ambivalence towards a specific intervention,Perception of insufficient benefit for self,Cognitive appraisal of inappropriateness for self
"I’ve had bad experiences in therapy before, and I’m unsure if it’s really helpful. How is this going to be different?",Feeling of hopelessness,Ambivalence about therapy,Anxiety in relation to therapy,Fear of therapeutic failure,Uncertainty regarding therapeutic benefit
How long will it take for this to work? I don’t have a lot of time or money.,Time perception abnormality,Anxiety about future,Financial anxiety,Stress due to lack of time,Stress due to lack of resources
I’ve had bad experiences in therapy before. My last therapist tried to make me talk about and visualize my past traumas. I ended up in the hospital! How can I know that I can trust you?,Fear of mental health care setting,Avoidance of psychotherapy,Experience of traumatic event,Anxiety in therapeutic situation,Fear of recalling trauma memories
"I was abused when I was a child, and recently I can’t stop thinking about it. My boyfriend tries to help me be positive, but I can’t stop feeling depressed. Sometimes I think it would be easier for everyone if I was dead.",Feeling of guilt,Obsessional thoughts about past traumatic event,Depressed mood,Thoughts of death or suicide,Avoidant behavior towards social interaction
"My doctor said I have to come see you about my “anger problem.” Sometimes when I get really angry, I lose control and hit people. I just get so angry when people say stupid things! Are you sure that you will be able to help me with this?",Anger,Behavioural disturbance in anger control,Aggressive behaviour,Verbal aggression,Physical assault
"I really need to know why I am the way I am now. I think understanding my past and childhood is really important, but it sounds like this approach doesn’t get into any of that?",Self-reflection about personal identity,Introspection about past experiences,Cognitive appraisal of personal history,Exploration of childhood experiences,Perception of self-understanding
