Turn,User Text,SNOMED Term,Code,Retrieval Score,Hypothesis,NLI Label,Entailment Score,Neutral Score,Contradiction Score,Decision
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Breakup of romance (finding),105416005,0.2818,This person has breakup of romance (finding).,NEUTRAL,0.0383,0.9442,0.0175,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Anxiety about resuming sexual relations (finding),225638007,0.2381,This person has anxiety about resuming sexual relations (finding).,NEUTRAL,0.0012,0.9956,0.0032,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Able to remember today's date (finding),285205002,0.1986,This person has able to remember today's date (finding).,CONTRADICTION,0.1768,0.3567,0.4665,DROP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Ability to remember today's date (observable entity),285204003,0.1812,This person has ability to remember today's date (observable entity).,ENTAILMENT,0.9851,0.012,0.0029,KEEP
1,"I know we talked about me having that date last week. I ended up cancelling at the last minute. You know, I actually felt relieved.",Unable to remember today's date (finding),247608009,0.1791,This person has unable to remember today's date (finding).,CONTRADICTION,0.0026,0.0171,0.9803,DROP
2,I don’t know why I keep blowing up at people. I just do.,Obsessional thoughts of explosions (finding),247875005,0.4595,This person has obsessional thoughts of explosions (finding).,NEUTRAL,0.0089,0.9811,0.01,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Unable to control anger (finding),225005002,0.4219,This person has unable to control anger (finding).,NEUTRAL,0.0194,0.9693,0.0113,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Tends to turn anger against self (finding),286795004,0.4115,This person has tends to turn anger against self (finding).,NEUTRAL,0.2798,0.6612,0.059,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Tends to allow anger to build up (finding),286791008,0.4094,This person has tends to allow anger to build up (finding).,ENTAILMENT,0.9258,0.0712,0.003,KEEP
2,I don’t know why I keep blowing up at people. I just do.,Able to control anger (finding),285848000,0.3906,This person has able to control anger (finding).,ENTAILMENT,0.8567,0.1245,0.0187,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Emotionally subdued (finding),225650001,0.352,This person has emotionally subdued (finding).,ENTAILMENT,0.988,0.0119,0.0001,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Extremely emotionally deprived (finding),284487002,0.3482,This person has extremely emotionally deprived (finding).,NEUTRAL,0.0169,0.9825,0.0006,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Complaining of feeling depressed (finding),272022009,0.3385,This person has complaining of feeling depressed (finding).,NEUTRAL,0.0427,0.9564,0.0009,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Depressed mood (finding),366979004,0.3364,This person has depressed mood (finding).,ENTAILMENT,0.8102,0.1894,0.0004,KEEP
3,"I’ve still been pretty down, I guess. I spent most of the week in bed.",Rebound mood swings (finding),191664002,0.3225,This person has rebound mood swings (finding).,NEUTRAL,0.0033,0.9887,0.008,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Feeling intoxicated (finding),102897001,0.4096,This person has feeling intoxicated (finding).,NEUTRAL,0.203,0.6704,0.1266,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcoholic family member (finding),133938003,0.358,This person has alcoholic family member (finding).,NEUTRAL,0.0795,0.8597,0.0609,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Husband alcoholic (finding),281026004,0.3545,This person has husband alcoholic (finding).,NEUTRAL,0.0477,0.5265,0.4258,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcoholic parent (finding),133940008,0.3484,This person has alcoholic parent (finding).,NEUTRAL,0.0115,0.9137,0.0747,KEEP
4,"I’ve been working hard on keeping my drinking under control, but it’s hard. I’m kind of nervous because my friend insists on having his birthday party at the bar this weekend.",Alcohol induced hallucinations (finding),417633001,0.3413,This person has alcohol induced hallucinations (finding).,NEUTRAL,0.0014,0.9394,0.0592,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Incongruent personal schedules (finding),422717002,0.4889,This person has incongruent personal schedules (finding).,ENTAILMENT,0.9434,0.0547,0.0019,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Difficulty in remembering dates (finding),275278005,0.4197,This person has difficulty in remembering dates (finding).,ENTAILMENT,0.9471,0.0521,0.0008,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Difficulty making plans (finding),247584000,0.4029,This person has difficulty making plans (finding).,ENTAILMENT,0.9929,0.0068,0.0003,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Poor daily routine (finding),225789002,0.3801,This person has poor daily routine (finding).,NEUTRAL,0.0663,0.9257,0.008,KEEP
5,I’m still having trouble making appointments. I either completely miss them or end up being late. I just can’t get it together.,Able to remember today's date (finding),285205002,0.3674,This person has able to remember today's date (finding).,CONTRADICTION,0.0004,0.034,0.9656,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Psychophysiologic insomnia (disorder),425832009,0.4499,This person has psychophysiologic insomnia (disorder).,NEUTRAL,0.0032,0.9905,0.0063,KEEP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Asleep (finding),248220008,0.417,This person has asleep (finding).,CONTRADICTION,0.0008,0.0008,0.9983,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Wakefulness finding (finding),365930002,0.4107,This person has wakefulness finding (finding).,CONTRADICTION,0.001,0.0039,0.9952,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Ready for enhanced sleep pattern (finding),427448000,0.347,This person has ready for enhanced sleep pattern (finding).,CONTRADICTION,0.0008,0.003,0.9962,DROP
6,"Wait a minute . . . you’re saying if I can’t fall asleep, then I need to get out of bed and stop trying to sleep?",Drowsy (finding),271782001,0.3176,This person has drowsy (finding).,ENTAILMENT,0.7592,0.1621,0.0786,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling a failure (finding),225010003,0.4486,This person has feeling a failure (finding).,ENTAILMENT,0.9902,0.009,0.0009,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Feeling intoxicated (finding),102897001,0.4363,This person has feeling intoxicated (finding).,ENTAILMENT,0.9752,0.0206,0.0043,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Perceptual disturbance due to alcohol withdrawal (finding),288041000119101,0.3789,This person has perceptual disturbance due to alcohol withdrawal (finding).,ENTAILMENT,0.6307,0.3667,0.0025,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Dysfunctional family due to alcoholism (finding),129878006,0.3737,This person has dysfunctional family due to alcoholism (finding).,NEUTRAL,0.0025,0.9904,0.0071,KEEP
7,"Umm. After being sober for 6 months, as you know . . . I drank this week. I feel like such a failure.",Alcoholic parent (finding),133940008,0.3496,This person has alcoholic parent (finding).,NEUTRAL,0.0385,0.8663,0.0953,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling unloved (finding),225018005,0.3337,This person has feeling unloved (finding).,NEUTRAL,0.2911,0.7059,0.0031,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling unwanted (finding),225017000,0.2976,This person has feeling unwanted (finding).,ENTAILMENT,0.97,0.0284,0.0016,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Attitude towards treatment (observable entity),704397001,0.2803,This person has attitude towards treatment (observable entity).,ENTAILMENT,0.9594,0.0395,0.0011,KEEP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Empathic character (finding),286733009,0.2741,This person has empathic character (finding).,CONTRADICTION,0.0084,0.0378,0.9538,DROP
8,"[Sad, failing to make eye contact] I guess I don’t deserve better.",Feeling emotionally hurt (finding),225019002,0.2727,This person has feeling emotionally hurt (finding).,ENTAILMENT,0.6632,0.3357,0.0012,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Adjustment to life threatening illness (finding),93831000119104,0.3554,This person has adjustment to life threatening illness (finding).,ENTAILMENT,0.9539,0.044,0.0021,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Post-traumatic mutism (disorder),229675006,0.3505,This person has post-traumatic mutism (disorder).,NEUTRAL,0.0143,0.9267,0.0591,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Loss of interest in previously enjoyable activity (finding),417523004,0.3302,This person has loss of interest in previously enjoyable activity (finding).,ENTAILMENT,0.7994,0.1951,0.0055,KEEP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Fear of walking (finding),225625004,0.3065,This person has fear of walking (finding).,CONTRADICTION,0.015,0.3811,0.6039,DROP
9,"Before being diagnosed with multiple sclerosis, I loved hiking. I’m devastated because nothing is going to replace that. It’s all over.",Coming to terms with dying (finding),304243005,0.2981,This person has coming to terms with dying (finding).,NEUTRAL,0.0367,0.941,0.0223,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Thoughts of self harm (finding),102911000,0.5822,This person has thoughts of self harm (finding).,ENTAILMENT,0.4904,0.4762,0.0334,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Thoughts of deliberate self harm (finding),401229000,0.5756,This person has thoughts of deliberate self harm (finding).,NEUTRAL,0.0088,0.7249,0.2663,KEEP
10,I cut myself this week. I don’t know why I harm myself like I do.,Obsessional thoughts of causing harm to self (finding),271953006,0.515,This person has obsessional thoughts of causing harm to self (finding).,NEUTRAL,0.0007,0.997,0.0023,KEEP
