context_window,file,judge_avg_avg_score,judge_avg_behavioral_guidance,judge_avg_cbt_adherence,judge_avg_cognitive_focus,judge_avg_cognitive_restructuring,judge_avg_self_reflection,judge_avg_understanding,judge_model,judge_n_scored,n_therapist_turns,protocol_execution_avg,reframing_execution_avg,refusal_rate,socratic_execution_avg,stem,validation_execution_avg
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/baseline_transcript_1.json,2.833,2.1,3.0,3.1,2.1,2.7,4.0,gpt-4o-mini,10,10,0.333,0.0,0.0,0.3,baseline_transcript_1,0.7
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/baseline_transcript_2.json,2.867,2.4,3.0,3.0,2.0,2.8,4.0,gpt-4o-mini,10,10,0.35,0.0,0.0,0.25,baseline_transcript_2,0.8
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/baseline_transcript_3.json,2.683,1.9,3.0,2.9,2.0,2.3,4.0,gpt-4o-mini,10,10,0.3,0.0,0.0,0.2,baseline_transcript_3,0.7
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/baseline_transcript_4.json,2.8,2.3,3.0,3.0,2.1,2.4,4.0,gpt-4o-mini,10,10,0.317,0.05,0.0,0.2,baseline_transcript_4,0.7
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/baseline_transcript_5.json,2.817,2.4,3.0,3.0,2.0,2.5,4.0,gpt-4o-mini,10,10,0.367,0.0,0.0,0.3,baseline_transcript_5,0.8
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/cbt_transcript_1.json,2.833,1.1,3.0,3.4,2.2,3.3,4.0,gpt-4o-mini,10,10,0.567,0.05,0.0,0.65,cbt_transcript_1,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/cbt_transcript_2.json,2.817,1.1,3.0,3.2,2.1,3.5,4.0,gpt-4o-mini,10,10,0.483,0.0,0.0,0.45,cbt_transcript_2,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/cbt_transcript_3.json,3.217,1.7,3.1,4.0,2.8,3.6,4.1,gpt-4o-mini,10,10,0.617,0.2,0.0,0.65,cbt_transcript_3,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/cbt_transcript_4.json,2.95,1.2,3.0,3.9,2.3,3.3,4.0,gpt-4o-mini,10,10,0.483,0.05,0.0,0.4,cbt_transcript_4,1.0
2,/Users/hepburnwisdom/Downloads/multiturn-generation/cbt-llm/output/gemma/cbt_transcript_5.json,2.883,1.2,3.0,3.6,2.3,3.2,4.0,gpt-4o-mini,10,10,0.5,0.05,0.0,0.45,cbt_transcript_5,1.0
