source,relation,target
284465006,IS_A,384821006
225706007,IS_A,108329005
225706007,IS_A,284465006
160822004,IS_A,225706007
160822004,IS_A,55607006
160823009,IS_A,160822004
160824003,IS_A,160822004
160826001,IS_A,160822004
160827005,IS_A,160822004
288501000119105,IS_A,160827005
160828000,IS_A,160822004
160830003,IS_A,160822004
681000119101,IS_A,160822004
1041000119100,IS_A,160822004
288551000119109,IS_A,105489007
288551000119109,IS_A,160822004
52381000119109,IS_A,160822004
102171000119108,IS_A,160822004
102161000119102,IS_A,160822004
160845005,IS_A,225706007
160846006,IS_A,225706007
304858008,IS_A,224993008
304858008,IS_A,225706007
304859000,IS_A,304858008
304860005,IS_A,304858008
304861009,IS_A,304858008
304862002,IS_A,304858008
304863007,IS_A,304858008
304864001,IS_A,304858008
304865000,IS_A,304858008
88451002,IS_A,304858008
88451002,IS_A,15863006
64313000,IS_A,225706007
64313000,IS_A,106024000
129603004,IS_A,64313000
129878006,IS_A,64313000
133938003,IS_A,64313000
133939006,IS_A,133938003
281026004,IS_A,133939006
133940008,IS_A,133938003
441879005,IS_A,64313000
67564005,IS_A,225706007
105416005,IS_A,67564005
225857001,IS_A,366001003
225857001,IS_A,67564005
105414008,IS_A,225706007
88598008,IS_A,129875009
88598008,IS_A,225706007
161057005,IS_A,88598008
276130005,IS_A,161057005
423238001,IS_A,88598008
424573006,IS_A,88598008
424300006,IS_A,88598008
422981003,IS_A,225706007
422781006,IS_A,225706007
422717002,IS_A,225706007
422517004,IS_A,225706007
422517004,IS_A,365032007
442533006,IS_A,225706007
113381000119100,IS_A,225706007
225787000,IS_A,284465006
225787000,IS_A,118233009
225788005,IS_A,225787000
225789002,IS_A,225787000
225790006,IS_A,284465006
225790006,IS_A,844005
225791005,IS_A,225790006
225795001,IS_A,225791005
225792003,IS_A,225795001
225796000,IS_A,225795001
225797009,IS_A,225796000
225845005,IS_A,225795001
225846006,IS_A,225795001
225793008,IS_A,225790006
225798004,IS_A,225793008
225801005,IS_A,225793008
225802003,IS_A,225801005
225803008,IS_A,225801005
225804002,IS_A,225793008
225805001,IS_A,225804002
225806000,IS_A,225804002
225807009,IS_A,225804002
225808004,IS_A,225793008
225808004,IS_A,108329005
225809007,IS_A,225808004
225812005,IS_A,225793008
225813000,IS_A,225793008
225815007,IS_A,225813000
225818009,IS_A,225793008
225818009,IS_A,65367001
225819001,IS_A,225818009
225820007,IS_A,225818009
428454002,IS_A,225820007
225823009,IS_A,225818009
95316006,IS_A,95934001
95316006,IS_A,225818009
95317002,IS_A,225818009
363652006,IS_A,95317002
95930005,IS_A,225818009
95931009,IS_A,95930005
95932002,IS_A,95930005
95933007,IS_A,95930005
422379007,IS_A,95930005
422566002,IS_A,95930005
422566002,IS_A,225858006
423562005,IS_A,95930005
423217007,IS_A,25622003
423217007,IS_A,95930005
419686005,IS_A,95930005
397660003,IS_A,419686005
231421000119102,IS_A,419686005
231431000119104,IS_A,95930005
386702006,IS_A,225818009
95318007,IS_A,386702006
397940009,IS_A,386702006
102457005,IS_A,397940009
102457005,IS_A,225824003
397864009,IS_A,102457005
102458000,IS_A,397940009
401316003,IS_A,397940009
289431000119109,IS_A,397940009
237461000119103,IS_A,225824003
237461000119103,IS_A,397940009
473453008,IS_A,397940009
473453008,IS_A,95924005
473453008,IS_A,419916003
700229002,IS_A,225826001
700229002,IS_A,397940009
713834002,IS_A,700229002
225826001,IS_A,386702006
225826001,IS_A,102950001
225830003,IS_A,225826001
56890008,IS_A,225826001
56890008,IS_A,90774003
42085001,IS_A,56890008
17044007,IS_A,42085001
17044007,IS_A,70295002
713820002,IS_A,56890008
713820002,IS_A,706893006
713821003,IS_A,56890008
242973005,IS_A,225826001
242974004,IS_A,225826001
417876002,IS_A,225826001
419951006,IS_A,417876002
418150003,IS_A,417876002
420180008,IS_A,417876002
149141000119102,IS_A,225826001
149141000119102,IS_A,406137001
29231000119109,IS_A,149141000119102
718495005,IS_A,29231000119109
10761061000119107,IS_A,225826001
10761061000119107,IS_A,118185001
10761021000119102,IS_A,225826001
10761021000119102,IS_A,118185001
225827005,IS_A,386702006
225828000,IS_A,386702006
90774003,IS_A,386702006
2268003,IS_A,90774003
74715005,IS_A,90774003
74715005,IS_A,225824003
78077007,IS_A,90774003
78077007,IS_A,225824003
160800006,IS_A,78077007
160801005,IS_A,78077007
213012007,IS_A,78077007
213013002,IS_A,78077007
